layer,key,status,ref_count,note,sources
Reference,ui.quest.title,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs
Reference,ui.quest.fallback.entry_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs
Reference,ui.skill_bar.legend.crowd_control,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_SkillBar.cs
Reference,ui.skill_bar.legend.burst,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_SkillBar.cs
Reference,ui.skill_bar.legend.mobility,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_SkillBar.cs
Reference,ui.skill_bar.legend.gather,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_SkillBar.cs
Reference,ui.skill_bar.attack_hint_default,Ok,3,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_SkillBar.cs
Reference,ui.skill_bar.attack_hint_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_SkillBar.cs
Reference,ui.stronghold.title,Ok,3,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_StrongholdWavePanel.cs
Reference,ui.stronghold.wave_format,Ok,3,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_StrongholdWavePanel.cs
Reference,ui.stronghold.remaining_ratio_format,Ok,3,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_StrongholdWavePanel.cs
Reference,ui.stronghold.remaining_format,Ok,3,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_StrongholdWavePanel.cs
Reference,ui.stronghold.status.started,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_StrongholdWavePanel.cs
Reference,ui.stronghold.status.wave_started,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_StrongholdWavePanel.cs
Reference,ui.stronghold.status.wave_completed,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_StrongholdWavePanel.cs
Reference,ui.stronghold.status.cleared,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_StrongholdWavePanel.cs
Reference,ui.stronghold.info,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_StrongholdWavePanel.cs
Reference,ui.talent.title,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs
